price,rating,os,sim_type,network_type,NFC,chipset,core_type,clock_ghz,ram_gb,storage_gb,battery_mah,screen_size_in,display_type,rear_camera,front_camera,company_name,resx,resy,ppi,performance_score
18999,7.9,Andriod,Dual,5g,False,Other,Octa Core,2.4,6,6,5000.0,6.6,Water Drop Notch,50,13,samsung,1080,2408,399.8640724050703,14.399999999999999
29999,8.2,Andriod,Dual,5g,True,Other,Octa Core,3.1,8,8,5000.0,6.78,Punch Hole,64,16,iqoo,1080,2400,388.1718973355984,24.8
18999,8.3,Andriod,Dual,5g,True,Snapdragon,Octa Core,2.2,6,6,5000.0,6.6,Punch Hole,50,16,motorola,1080,2400,398.7584036265693,13.200000000000001
13999,7.4,Andriod,Dual,4g,False,Helio,Octa Core,2.2,4,4,5000.0,6.4,Punch Hole,50,16,realme,1080,2400,411.2196037398995,8.8
14965,7.5,Andriod,Dual,5g,False,Dimensity,Octa Core,2.4,4,4,5000.0,6.6,Punch Hole,50,8,realme,1080,2408,399.8640724050703,9.6
74999,8.2,IOS,Dual,5g,True,Bionic,Hexa Core,3.22,6,6,4325.0,6.7,Small Notch,12,12,apple,1284,2778,456.7734819486999,19.32
10999,7.8,Andriod,Dual,4g,False,Helio,Octa Core,2.05,6,6,5000.0,6.43,Punch Hole,64,13,xiaomi,1080,2400,409.3010052776606,12.299999999999999
84990,8.9,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,8,8,4700.0,6.6,Punch Hole,50,12,samsung,1080,2340,390.48602899844605,25.6
10499,7.5,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,4,4,5000.0,6.55,Punch Hole,50,16,motorola,1080,2400,401.8023609061614,9.6
17990,7.8,Andriod,Dual,5g,True,Other,Octa Core,2.0,6,6,5000.0,6.67,Punch Hole,108,16,xiaomi,1080,2460,402.79364037010095,12.0
29990,8.5,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,8,8,4600.0,6.78,Punch Hole,64,50,vivo,1080,2400,388.1718973355984,25.6
18499,7.9,Andriod,Dual,4g,False,Snapdragon,Octa Core,2.4,6,6,5000.0,6.6,Water Drop Notch,50,8,samsung,1080,2408,399.8640724050703,14.399999999999999
16499,7.5,Andriod,Dual,4g,False,Other,Octa Core,2.0,6,6,5000.0,6.55,Water Drop Notch,50,8,vivo,720,1612,269.5399849891553,12.0
14999,8.1,Andriod,Dual,5g,False,Dimensity,Octa Core,2.4,6,6,5000.0,6.6,Punch Hole,50,16,poco,1080,2400,398.7584036265693,14.399999999999999
35499,8.6,Andriod,Dual,5g,True,Other,Octa Core,3.1,8,8,4600.0,6.78,Punch Hole,50,50,vivo,1080,2400,388.1718973355984,24.8
60999,8.9,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.0,8,8,5000.0,6.7,Punch Hole,50,32,oneplus,1440,3216,525.9210168998101,24.0
32999,8.7,Andriod,Dual,5g,False,Dimensity,Octa Core,2.6,12,12,4980.0,6.67,Punch Hole,200,16,xiaomi,1080,2400,394.57353282389164,31.200000000000003
15999,7.8,Andriod,Dual,5g,True,Other,Octa Core,2.2,4,4,5000.0,6.6,Water Drop Notch,50,8,samsung,1080,2408,399.8640724050703,8.8
